landscape,wind,strategy,min_dist,seed,cells_burned,burn_pct,cells_treated,treat_pct,peak_burning,fire_periods,returncode
dogrib,ws10,cell2_ground,0,27,31316,39.3363,471,0.591627,19126,200,0
dogrib,ws10,cell2_ground,0,20,36311,45.6105,471,0.591627,22092,200,0
dogrib,ws10,cell2_ground,0,23,35025,43.9952,471,0.591627,21364,200,0
dogrib,ws10,cell2_ground,0,30,30083,37.7875,471,0.591627,18761,200,0
dogrib,ws10,cell2_ground,0,29,34978,43.9361,471,0.591627,21299,200,0
dogrib,ws10,cell2_ground,0,25,35114,44.107,471,0.591627,21449,200,0
dogrib,ws10,cell3_lowonly,0,1,37149,46.6632,471,0.591627,22230,200,0
dogrib,ws10,cell2_ground,0,28,35638,44.7652,471,0.591627,21660,200,0
dogrib,ws10,cell3_lowonly,0,3,37371,46.942,471,0.591627,22263,200,0
dogrib,ws10,cell3_lowonly,0,5,37756,47.4256,471,0.591627,22460,200,0
dogrib,ws10,cell3_lowonly,0,2,36883,46.329,471,0.591627,21993,200,0
dogrib,ws10,cell3_lowonly,0,9,38480,48.335,471,0.591627,22961,200,0
dogrib,ws10,cell3_lowonly,0,10,39237,49.2859,471,0.591627,23384,200,0
dogrib,ws10,cell3_lowonly,0,6,37818,47.5035,471,0.591627,22527,200,0
dogrib,ws10,cell3_lowonly,0,4,37664,47.31,471,0.591627,22461,200,0
dogrib,ws10,cell3_lowonly,0,7,38344,48.1642,471,0.591627,22871,200,0
dogrib,ws10,cell3_lowonly,0,8,37280,46.8277,471,0.591627,22270,200,0
dogrib,ws10,cell3_lowonly,0,11,36893,46.3416,471,0.591627,21992,200,0
dogrib,ws10,cell3_lowonly,0,12,37074,46.5689,471,0.591627,22157,200,0
dogrib,ws10,cell3_lowonly,0,17,37490,47.0915,471,0.591627,22419,200,0
dogrib,ws10,cell3_lowonly,0,16,37682,47.3327,471,0.591627,22501,200,0
dogrib,ws10,cell3_lowonly,0,15,36867,46.3089,471,0.591627,22007,200,0
dogrib,ws10,cell3_lowonly,0,18,37819,47.5047,471,0.591627,22588,200,0
dogrib,ws10,cell3_lowonly,0,14,37295,46.8465,471,0.591627,22283,200,0
dogrib,ws10,cell3_lowonly,0,13,39006,48.9957,471,0.591627,23251,200,0
dogrib,ws10,cell3_lowonly,0,22,37007,46.4848,471,0.591627,22068,200,0
dogrib,ws10,cell4_highonly,0,1,32,0.0401955,471,0.591627,24,200,0
dogrib,ws10,cell4_highonly,0,2,24,0.0301466,471,0.591627,18,200,0
dogrib,ws10,cell4_highonly,0,3,31,0.0389393,471,0.591627,24,200,0
dogrib,ws10,cell4_highonly,0,4,36,0.0452199,471,0.591627,27,200,0
dogrib,ws10,cell4_highonly,0,5,49,0.0615493,471,0.591627,39,200,0
dogrib,ws10,cell4_highonly,0,6,79,0.0992325,471,0.591627,60,200,0
dogrib,ws10,cell3_lowonly,0,19,39228,49.2746,471,0.591627,23417,200,0
dogrib,ws10,cell3_lowonly,0,20,39178,49.2118,471,0.591627,23420,200,0
dogrib,ws10,cell4_highonly,0,8,18,0.0226099,471,0.591627,17,200,0
dogrib,ws10,cell4_highonly,0,7,341,0.428333,471,0.591627,214,200,0
dogrib,ws10,cell4_highonly,0,11,25,0.0314027,471,0.591627,22,200,0
dogrib,ws10,cell3_lowonly,0,21,39109,49.1251,471,0.591627,23353,200,0
dogrib,ws10,cell4_highonly,0,12,24,0.0301466,471,0.591627,20,200,0
dogrib,ws10,cell4_highonly,0,14,46,0.057781,471,0.591627,38,200,0
dogrib,ws10,cell4_highonly,0,15,35,0.0439638,471,0.591627,27,200,0
dogrib,ws10,cell3_lowonly,0,23,36787,46.2084,471,0.591627,21927,200,0
